Episode;Step;Action;Action type;Reward
0;1;3;Random;24
0;2;6;Random;25
0;3;4;Random;42
0;4;1;Random;39
0;5;1;Random;35
0;6;6;Random;36
0;7;3;Random;39
0;8;1;Random;35
0;9;5;Random;19
0;10;8;Random;16
0;11;5;Random;7
0;12;6;Random;14
0;13;5;Random;5
0;14;5;Random;0
0;15;6;Random;1
0;16;5;Random;0
0;17;4;Random;1
1;1;3;Random;24
1;2;0;Random;27
1;3;8;Random;23
1;4;5;Random;13
1;5;7;Random;14
1;6;2;Random;16
1;7;3;Random;14
1;8;6;Random;17
1;9;6;Random;14
1;10;1;Random;19
1;11;1;Random;19
1;12;5;Random;9
1;13;7;Random;8
1;14;1;Random;9
1;15;5;Model;1
1;16;4;Random;9
1;17;3;Random;7
1;18;0;Random;6
1;19;7;Random;5
1;20;2;Random;4
1;21;9;Random;5
1;22;3;Random;6
1;23;2;Random;5
1;24;1;Random;5
1;25;1;Random;2
1;26;9;Random;3
1;27;5;Random;0
1;28;0;Random;0
1;29;6;Random;0
1;30;6;Random;1
1;31;9;Model;0
1;32;7;Random;1
1;33;2;Random;1
1;34;6;Random;0
1;35;6;Random;0
1;36;5;Random;0
1;37;9;Random;0
2;1;5;Random;13
2;2;1;Random;8
2;3;3;Model;6
2;4;3;Model;8
2;5;8;Random;3
2;6;6;Random;8
2;7;4;Random;19
2;8;7;Random;24
2;9;7;Random;29
2;10;9;Random;27
2;11;1;Random;23
2;12;2;Random;21
2;13;6;Random;24
2;14;2;Random;23
2;15;4;Random;39
2;16;6;Random;39
2;17;6;Random;42
2;18;1;Random;38
2;19;7;Random;43
2;20;3;Random;46
2;21;5;Random;25
2;22;0;Random;26
2;23;9;Random;28
2;24;8;Random;25
2;25;3;Random;27
2;26;3;Random;29
2;27;9;Random;27
2;28;9;Random;24
2;29;3;Model;25
2;30;4;Random;36
2;31;4;Random;53
2;32;5;Random;36
2;33;9;Random;33
2;34;7;Random;36
2;35;3;Random;36
2;36;6;Random;41
2;37;7;Random;39
2;38;1;Random;39
2;39;4;Random;56
2;40;2;Random;52
2;41;6;Random;56
2;42;1;Random;53
2;43;8;Random;53
2;44;2;Model;53
2;45;5;Random;38
2;46;7;Random;41
2;47;6;Random;44
2;48;3;Model;42
2;49;4;Model;57
2;50;8;Random;55
2;51;4;Random;72
2;52;7;Random;71
3;1;3;Random;24
3;2;8;Random;19
3;3;6;Random;27
3;4;6;Random;32
3;5;1;Random;29
3;6;9;Random;23
3;7;4;Random;32
3;8;4;Random;45
3;9;8;Random;37
3;10;0;Random;41
3;11;8;Random;41
3;12;4;Model;54
3;13;4;Random;80
4;1;7;Random;27
4;2;2;Model;25
4;3;9;Random;24
4;4;8;Random;19
4;5;0;Random;23
4;6;0;Random;25
4;7;1;Random;23
4;8;1;Model;19
4;9;1;Model;12
4;10;1;Model;7
4;11;1;Model;2
4;12;5;Random;0
4;13;3;Random;0
4;14;3;Random;1
4;15;7;Random;4
4;16;6;Random;5
4;17;3;Random;7
4;18;3;Random;9
4;19;5;Model;4
4;20;6;Model;3
4;21;3;Random;6
4;22;3;Model;7
4;23;7;Model;6
4;24;5;Random;1
4;25;4;Random;6
4;26;9;Random;3
4;27;6;Random;6
4;28;7;Random;7
4;29;7;Model;4
4;30;1;Random;5
4;31;6;Random;6
4;32;0;Random;7
4;33;3;Random;5
4;34;9;Random;3
4;35;7;Model;4
4;36;2;Random;3
4;37;3;Random;4
4;38;4;Random;9
4;39;0;Random;10
4;40;5;Random;4
4;41;3;Random;4
4;42;8;Model;4
4;43;4;Random;9
4;44;4;Random;22
4;45;1;Random;18
4;46;9;Random;17
4;47;3;Random;17
4;48;3;Random;18
4;49;1;Random;15
4;50;7;Random;21
4;51;8;Model;15
4;52;3;Model;19
4;53;2;Random;15
4;54;6;Random;17
4;55;4;Random;30
4;56;8;Model;29
4;57;3;Random;27
4;58;3;Random;29
4;59;3;Random;30
4;60;2;Random;29
4;61;9;Random;29
4;62;2;Random;28
4;63;2;Random;27
4;64;1;Random;27
4;65;1;Random;31
4;66;8;Model;35
4;67;1;Random;33
4;68;9;Model;31
4;69;0;Random;31
4;70;6;Random;35
4;71;9;Random;31
4;72;8;Random;33
4;73;8;Random;39
4;74;9;Model;35
4;75;4;Random;54
4;76;4;Random;70
4;77;9;Model;66
5;1;4;Random;39
5;2;9;Model;35
5;3;3;Random;36
5;4;7;Random;42
5;5;9;Random;38
5;6;4;Random;53
5;7;9;Model;52
5;8;3;Random;52
5;9;8;Random;55
5;10;9;Model;53
5;11;1;Random;50
5;12;9;Model;51
5;13;5;Random;41
5;14;9;Model;42
5;15;2;Random;42
5;16;7;Random;42
5;17;7;Random;39
5;18;5;Random;28
5;19;6;Random;23
5;20;0;Random;20
5;21;1;Random;23
5;22;4;Random;41
5;23;8;Random;39
5;24;3;Model;40
5;25;3;Random;39
5;26;0;Random;40
5;27;4;Random;59
5;28;9;Model;53
5;29;8;Random;54
5;30;1;Random;54
5;31;5;Random;41
5;32;9;Model;39
5;33;0;Random;39
5;34;4;Random;52
5;35;4;Random;74
5;36;9;Random;70
6;1;2;Random;27
6;2;6;Random;32
6;3;1;Random;29
6;4;3;Random;27
6;5;1;Random;23
6;6;1;Random;16
6;7;4;Random;26
6;8;1;Model;17
6;9;4;Random;37
6;10;7;Random;46
6;11;0;Random;50
6;12;3;Random;53
6;13;2;Model;50
6;14;8;Random;41
6;15;2;Random;37
6;16;8;Random;36
6;17;1;Random;27
6;18;9;Random;19
6;19;2;Random;19
6;20;1;Random;13
6;21;8;Random;17
6;22;2;Random;21
6;23;8;Random;22
6;24;9;Random;23
6;25;4;Random;41
6;26;3;Random;38
7;1;0;Random;25
7;2;3;Model;27
7;3;6;Random;25
7;4;2;Random;28
7;5;8;Random;32
7;6;3;Random;29
7;7;3;Random;25
7;8;3;Random;27
7;9;7;Model;30
7;10;7;Model;34
7;11;4;Model;46
7;12;6;Random;47
7;13;5;Random;28
7;14;7;Random;28
7;15;9;Random;31
7;16;4;Random;47
7;17;2;Random;47
7;18;6;Model;47
7;19;1;Random;47
7;20;4;Random;67
7;21;6;Model;77
7;22;7;Random;74
7;23;7;Random;71
7;24;9;Random;70
7;25;9;Random;64
7;26;3;Random;61
7;27;7;Random;66
7;28;8;Random;61
7;29;7;Model;66
7;30;8;Model;61
7;31;8;Model;61
7;32;9;Random;57
7;33;9;Random;56
7;34;3;Random;60
7;35;6;Model;58
7;36;8;Random;56
7;37;0;Random;57
7;38;8;Random;57
7;39;6;Random;59
7;40;7;Random;61
7;41;0;Random;64
7;42;8;Random;63
7;43;5;Random;47
7;44;7;Model;45
7;45;7;Model;44
7;46;1;Random;46
7;47;8;Random;47
7;48;9;Random;45
7;49;1;Random;44
7;50;7;Model;47
7;51;7;Model;46
7;52;7;Random;40
7;53;4;Random;64
7;54;2;Random;67
7;55;0;Random;68
7;56;8;Random;63
7;57;4;Model;83
7;58;4;Model;106
8;1;6;Random;29
8;2;2;Random;32
8;3;2;Model;31
8;4;3;Random;32
8;5;6;Random;32
8;6;1;Random;31
8;7;7;Model;32
8;8;6;Random;34
8;9;7;Model;28
8;10;9;Random;28
8;11;6;Random;28
8;12;6;Random;25
8;13;7;Model;20
8;14;7;Model;16
8;15;4;Random;39
8;16;4;Random;67
8;17;3;Random;72
8;18;4;Random;99
8;19;6;Random;90
9;1;4;Random;39
9;2;6;Random;39
9;3;4;Random;56
9;4;3;Random;61
9;5;5;Random;42
9;6;2;Random;39
9;7;5;Random;29
9;8;7;Random;25
9;9;4;Random;46
9;10;7;Random;45
9;11;5;Random;29
9;12;6;Random;22
9;13;9;Model;29
9;14;1;Random;28
9;15;6;Random;26
9;16;7;Model;26
9;17;8;Random;26
9;18;1;Random;25
9;19;5;Random;17
9;20;1;Random;16
9;21;0;Random;17
9;22;8;Random;19
9;23;4;Random;29
9;24;5;Random;19
9;25;8;Random;19
9;26;9;Random;12
9;27;5;Random;3
9;28;8;Random;2
9;29;2;Random;4
9;30;3;Model;2
9;31;5;Model;0
9;32;4;Random;2
9;33;8;Model;2
9;34;2;Random;2
9;35;5;Random;0
9;36;3;Model;0
9;37;6;Random;1
9;38;6;Random;0
9;39;6;Model;0
9;40;9;Model;0
9;41;4;Random;3
9;42;6;Random;4
9;43;6;Random;7
9;44;6;Model;6
