Episode;Number of steps;Total reward
0.0;100.0;-795.0
1.0;100.0;23.875
2.0;100.0;-8.75
3.0;100.0;-102.5
4.0;100.0;-6001.0
5.0;100.0;-8463.875
6.0;100.0;-8273.25
7.0;100.0;-3001.0
8.0;100.0;-113.125
9.0;100.0;-5104.0
10.0;100.0;-8098.5
11.0;100.0;-1205.0
12.0;100.0;-2398.0
13.0;100.0;-9.125
14.0;100.0;-796.5
15.0;100.0;-0.5
16.0;100.0;-1107.25
17.0;100.0;-6892.0
18.0;100.0;-1899.0
19.0;100.0;-1800.25
20.0;100.0;-0.375
21.0;100.0;8.25
22.0;100.0;-13.0
23.0;100.0;-1904.5
24.0;100.0;-6.0
25.0;100.0;-3.875
26.0;100.0;-7401.5
27.0;100.0;-9.125
28.0;100.0;-5597.0
29.0;100.0;-3198.625
30.0;100.0;-504.0
31.0;100.0;-1010.875
32.0;100.0;17.75
33.0;100.0;-3890.25
34.0;100.0;-2099.625
35.0;100.0;-6.625
36.0;100.0;-7910.0
37.0;100.0;-4.25
38.0;100.0;-8099.5
39.0;100.0;-9.625
40.0;100.0;-3005.0
41.0;100.0;-1.0
42.0;100.0;-1011.5
43.0;100.0;-10.75
44.0;100.0;-4003.5
45.0;100.0;1.125
46.0;100.0;-2598.5
47.0;100.0;-2809.125
48.0;100.0;-11.125
49.0;100.0;-998.25
50.0;100.0;-7295.875
51.0;100.0;-2200.0
52.0;100.0;-905.75
53.0;100.0;-3908.75
54.0;100.0;-7895.5
55.0;100.0;-4405.0
56.0;100.0;-3.5
57.0;100.0;-8.0
58.0;100.0;-4308.0
59.0;100.0;-6.875
60.0;100.0;-8.5
61.0;100.0;-10.0
62.0;100.0;-11.0
63.0;100.0;-1003.375
64.0;100.0;-7.25
65.0;100.0;-1910.5
66.0;100.0;-3697.5
67.0;100.0;-4899.0
68.0;100.0;-8.875
69.0;100.0;-2787.75
70.0;100.0;-8098.5
71.0;100.0;-204.0
72.0;100.0;-2193.375
73.0;100.0;-2794.0
74.0;100.0;-7396.375
75.0;100.0;3.625
76.0;100.0;9.0
77.0;100.0;12.625
78.0;100.0;3.5
79.0;100.0;-6208.75
80.0;100.0;-704.5
81.0;100.0;4.0
82.0;100.0;4.0
83.0;100.0;4.5
84.0;100.0;8.5
85.0;100.0;-3904.875
86.0;100.0;-1803.5
87.0;100.0;-6003.5
88.0;100.0;-8.5
89.0;100.0;-4413.75
90.0;100.0;-4498.0
91.0;100.0;-1.5
92.0;100.0;-1998.5
93.0;100.0;-3200.0
94.0;100.0;16.25
95.0;100.0;-195.5
96.0;100.0;-189.875
97.0;100.0;9.75
98.0;100.0;-4697.5
99.0;100.0;-2605.0
100.0;100.0;-75.0
101.0;100.0;-3701.5
102.0;100.0;3.5
103.0;100.0;-2095.5
104.0;100.0;4.0
105.0;100.0;2.375
106.0;100.0;-5697.0
107.0;100.0;-2.0
108.0;100.0;6.0
109.0;100.0;1.0
110.0;100.0;-2998.0
111.0;100.0;4.25
112.0;100.0;18.125
113.0;100.0;-1406.25
114.0;100.0;-407.0
115.0;100.0;-2096.5
116.0;100.0;-2511.0
117.0;100.0;-8.75
118.0;100.0;-6405.5
119.0;100.0;-8.625
120.0;100.0;4.5
121.0;100.0;-10.0
122.0;100.0;7.0
123.0;100.0;-7196.5
124.0;100.0;4.25
125.0;100.0;0.875
126.0;100.0;3.5
127.0;100.0;5.5
128.0;100.0;19.375
129.0;100.0;9.5
130.0;100.0;-4001.5
131.0;100.0;-11.0
132.0;100.0;-8.625
133.0;100.0;-3111.0
134.0;100.0;4.5
135.0;100.0;1.5
136.0;100.0;-9.5
137.0;100.0;32.375
138.0;100.0;10.0
139.0;100.0;-10.875
140.0;100.0;3.5
141.0;100.0;7.0
142.0;100.0;7.0
143.0;100.0;-195.5
144.0;100.0;-1607.0
145.0;100.0;-4111.0
146.0;100.0;-5009.75
147.0;100.0;-10.0
148.0;100.0;-11.0
149.0;100.0;0.375
150.0;100.0;-398.5
151.0;100.0;1.875
152.0;100.0;38.625
153.0;100.0;1.5
154.0;100.0;-3.625
155.0;100.0;23.0
156.0;100.0;-4.5
157.0;100.0;-10.0
158.0;100.0;17.125
159.0;100.0;6.5
160.0;100.0;-5491.5
161.0;100.0;12.25
162.0;100.0;0.5
163.0;100.0;-6.125
164.0;100.0;-3.0
165.0;100.0;3.5
166.0;100.0;1.875
167.0;100.0;17.5
168.0;100.0;12.5
169.0;100.0;11.0
170.0;100.0;-8902.0
171.0;100.0;12.0
172.0;100.0;2.625
173.0;100.0;22.875
174.0;100.0;-5000.5
175.0;100.0;-10.875
176.0;100.0;4.5
177.0;100.0;3.875
178.0;100.0;15.5
179.0;100.0;17.0
180.0;100.0;-11.0
181.0;100.0;12.125
182.0;100.0;-1.0
183.0;100.0;-199.25
184.0;100.0;1.5
185.0;100.0;3.0
186.0;100.0;-4999.5
187.0;100.0;-1.5
188.0;100.0;-1996.5
189.0;100.0;4.0
190.0;100.0;8.125
191.0;100.0;23.625
192.0;100.0;12.375
193.0;100.0;4.5
194.0;100.0;10.0
195.0;100.0;6.75
196.0;100.0;0.0
197.0;100.0;-11.0
198.0;100.0;7.0
199.0;100.0;11.375
