Episode;Step;Action;Action type;Action duration;Reward
14000;1;5;Random;0.0003807470202445984;-40.0
14000;2;3;Random;0.00025406479835510254;5.0
14000;3;9;Random;0.00025816261768341064;0.5
14000;4;9;Random;0.00023666396737098694;0.0
14000;5;7;Random;0.00023314356803894043;0.0
14000;6;7;Random;0.00022837147116661072;0.0
14000;7;7;Random;0.00022813305258750916;0.0
14000;8;2;Random;0.00022776424884796143;0.0
14000;9;4;Model;0.003348749130964279;78.0
14000;10;4;Model;0.0022783279418945312;139.125
14000;11;9;Random;0.0002712644636631012;0.0
14000;12;5;Random;0.0002570822834968567;-147.0
14000;13;4;Model;0.0021654032170772552;114.625
14000;14;4;Model;0.002068661153316498;172.5
14000;15;4;Model;0.002058573067188263;199.375
14000;16;4;Model;0.08865172788500786;198.0
14000;17;7;Random;0.00033312663435935974;2.0
14000;18;4;Model;0.0021843276917934418;-100.0
14000;19;4;Model;0.0018300674855709076;-100.0
14000;20;3;Random;0.00019383057951927185;-100.0
14000;21;4;Model;0.0019450299441814423;-100.0
14001;1;7;Random;0.00022780150175094604;0.0
14001;2;4;Model;0.0018451549112796783;135.625
14001;3;4;Random;0.0002350546419620514;180.0
14001;4;4;Model;0.0020464472472667694;200.0
14001;5;4;Model;0.0022636763751506805;200.0
14001;6;7;Model;0.0022267624735832214;0.0
14001;7;0;Random;0.00026656314730644226;9.5
14001;8;4;Random;0.0002144649624824524;-100.0
14001;9;2;Random;0.00021242350339889526;-100.0
14001;10;8;Random;0.00019677355885505676;-100.0
14001;11;2;Random;0.08566901087760925;-100.0
14001;12;0;Model;0.002375248819589615;-100.0
14001;13;1;Random;0.0002460107207298279;-100.0
14001;14;8;Random;0.00022088736295700073;-100.0
14001;15;0;Model;0.0019905604422092438;-100.0
14001;16;0;Random;0.00021754205226898193;-100.0
14001;17;0;Model;0.0019161999225616455;-100.0
14001;18;1;Random;0.0002047717571258545;-100.0
14001;19;0;Random;0.00019619613885879517;-100.0
