Episode;Episode duration;Number of steps;Total reward
14000;0.13731373101472855;21;322.125
14001;0.35257940366864204;46;-1674.375
14002;0.36953096836805344;56;543.625
14003;0.4523940347135067;60;1641.875
14004;0.3441457338631153;51;-1587.75
14005;0.23261181637644768;33;1028.75
14006;0.23199543356895447;35;-1454.125
14007;0.44734085351228714;64;2134.875
14008;0.4813535325229168;64;1990.75
14009;0.24154112115502357;29;-747.375
14010;0.21248320117592812;26;-248.625
14011;0.256139375269413;38;637.75
14012;0.3576134033501148;48;1647.0
14013;0.345130268484354;46;466.25
14014;0.35379837453365326;49;757.25
14015;0.3001355119049549;41;-1625.0
14016;0.4525212198495865;71;275.25
14017;0.3400696590542793;49;-617.875
14018;0.4174846298992634;59;1139.625
14019;0.22760009765625;35;1040.625
14020;0.3279561810195446;47;-844.0
14021;0.3156820461153984;52;537.5
14022;0.3252604678273201;51;-870.5
14023;0.5179493129253387;71;1297.25
14024;0.23819610849022865;39;-1972.625
14025;0.3602208085358143;47;-1507.5
14026;0.3595177233219147;47;748.0
14027;0.6553916037082672;86;-1066.0
14028;0.2099308893084526;34;-579.125
14029;0.5688520073890686;85;-1444.125
14030;0.3218199983239174;46;259.625
14031;0.3528512455523014;57;622.625
14032;0.4363597296178341;49;1549.25
14033;0.2537551075220108;47;516.875
14034;0.4219737537205219;58;698.75
14035;0.2145986407995224;33;44.0
14036;0.3293120861053467;53;1109.75
14037;0.38685106486082077;49;-1000.375
14038;0.45729365572333336;68;1371.5
14039;0.4547988288104534;61;698.125
14040;0.37343616783618927;57;-962.0
14041;0.348353311419487;40;-1337.5
14042;0.24009265005588531;35;649.5
14043;0.34711525961756706;47;1097.25
14044;0.34975388273596764;56;1014.875
14045;0.2036244384944439;22;-147.5
14046;0.3439749591052532;54;-1742.625
14047;0.3714938871562481;54;181.0
14048;0.36315305531024933;44;1095.625
14049;0.3465545326471329;46;1154.5
14050;0.11152034252882004;14;115.0
14051;0.3609488233923912;53;544.625
14052;0.1916235275566578;21;-980.0
14053;0.44506508484482765;67;214.875
14054;0.33561721071600914;50;1301.5
14055;0.3159317784011364;43;-94.5
14056;0.26801757514476776;45;436.125
14057;0.4347231164574623;58;1029.125
14058;0.25531745329499245;40;-269.625
14059;0.30448170378804207;36;502.25
14060;0.4776019975543022;75;2694.75
14061;0.4263196811079979;57;1485.125
14062;0.22571825236082077;34;-2092.875
14063;0.3396679162979126;47;-2502.875
14064;0.7026048228144646;94;-1182.375
14065;0.14479247853159904;25;199.5
14066;0.6866913065314293;81;806.625
14067;0.379481952637434;58;-718.875
14068;0.24358119815587997;36;528.0
14069;0.34631291031837463;47;1192.375
14070;0.3323791027069092;46;996.125
14071;0.33328524976968765;40;-413.25
14072;0.3537283055484295;49;-795.25
14073;0.25553133711218834;40;375.375
14074;0.23781855031847954;31;32.0
14075;0.4584081433713436;64;1322.875
14076;0.5402644500136375;76;2356.875
14077;0.32908469066023827;41;788.875
14078;0.24901798367500305;42;-2457.375
14079;0.3366147577762604;44;-2806.625
14080;0.33496730402112007;48;490.625
14081;0.32560672610998154;42;8.5
14082;0.3571459949016571;56;26.375
14083;0.2038571871817112;25;-1089.5
14084;0.3402507156133652;54;1289.0
14085;0.23620512336492538;34;635.75
14086;0.22879565134644508;38;-1800.875
14087;0.32433609664440155;44;-1941.875
14088;0.5687523446977139;73;-1780.125
14089;0.4769063852727413;66;-4050.25
14090;0.34135209023952484;45;804.75
14091;0.37585950642824173;52;916.875
14092;0.45728210359811783;63;-450.5
14093;0.45023879408836365;60;1178.125
14094;0.33997717872262;51;-3.875
14095;0.45314303040504456;60;1135.5
14096;0.7167525179684162;99;1624.25
14097;0.4577775299549103;60;-483.0
14098;0.3588498495519161;56;-2627.0
14099;0.45781393349170685;59;743.75
14100;0.4631255120038986;68;1434.375
14101;0.37693995982408524;49;-3068.25
14102;0.23967551440000534;25;-313.0
14103;0.17402777075767517;27;-980.0
14104;0.24284777790308;24;732.0
14105;0.13116052001714706;19;603.5
14106;0.13992242887616158;19;314.5
14107;0.13961878046393394;17;496.5
14108;0.2333342470228672;27;709.0
14109;0.23890919238328934;27;273.875
14110;0.15019449219107628;25;727.0
14111;0.13180772587656975;17;514.5
14112;0.13590554147958755;17;664.5
14113;0.23942535370588303;24;732.0
14114;0.13816269859671593;17;514.5
14115;0.1423645317554474;20;170.25
14116;0.24135997146368027;24;668.75
14117;0.1342015266418457;17;514.5
14118;0.14232933521270752;17;514.5
14119;0.16878535225987434;28;852.125
14120;0.22721220552921295;17;514.5
14121;0.1412862278521061;19;73.375
14122;0.14392459392547607;18;414.5
14123;0.1400669366121292;17;514.5
14124;0.14664725959300995;17;514.5
14125;0.1514233723282814;17;514.5
14126;0.14415385201573372;17;514.5
14127;0.254522942006588;26;-1262.0
14128;0.15248608216643333;19;436.5
14129;0.2510535717010498;26;666.875
14130;0.14667198061943054;22;298.25
14131;0.18032030016183853;19;102.0
14132;0.14368931576609612;19;102.0
14133;0.1378953717648983;18;555.5
14134;0.24555232003331184;19;387.0
14135;0.15679646655917168;19;102.0
14136;0.15339187160134315;19;569.5
14137;0.16100307181477547;24;277.0
14138;0.24911023303866386;24;-398.0
14139;0.2583635076880455;26;-57.875
14140;0.13974227383732796;17;514.5
14141;0.14971156790852547;20;253.375
14142;0.1549707092344761;25;158.0
14143;0.21419977769255638;17;514.5
14144;0.14117734134197235;17;514.5
14145;0.1611940860748291;25;177.0
14146;0.14739073812961578;18;517.5
14147;0.13748876005411148;17;514.5
14148;0.23919618129730225;25;638.25
14149;0.15715988725423813;25;621.0
14150;0.2305874191224575;17;514.5
14151;0.1552976630628109;18;559.0
14152;0.17477109655737877;24;-23.0
14153;0.146416075527668;17;514.5
14154;0.23743755742907524;21;146.25
14155;0.14024905860424042;17;514.5
14156;0.14323875680565834;17;514.5
14157;0.154734555631876;27;-484.0
14158;0.2187027521431446;20;377.625
14159;0.1643177978694439;24;-420.5
14160;0.13616251572966576;17;514.5
14161;0.2564947009086609;30;817.375
14162;0.15391864627599716;20;462.0
14163;0.13894104212522507;17;514.5
14164;0.14224841445684433;17;480.875
14165;0.142657358199358;17;480.875
14166;0.23246095329523087;19;314.5
14167;0.14272337406873703;19;495.75
14168;0.15154241397976875;25;777.0
14169;0.2082367241382599;18;519.5
14170;0.13553737476468086;17;514.5
14171;0.16449566930532455;27;770.0
14172;0.15813221782445908;18;414.5
14173;0.24984818324446678;25;632.0
14174;0.25970108062028885;29;-431.375
14175;0.13927272707223892;18;562.0
14176;0.14737706258893013;21;-142.25
14177;0.2415228746831417;24;142.125
14178;0.14569217711687088;17;514.5
14179;0.13944043964147568;16;614.5
14180;0.14792324975132942;21;288.75
14181;0.13930342346429825;17;514.5
14182;0.1389796920120716;18;528.5
14183;0.25920210033655167;29;713.0
14184;0.14281650260090828;18;414.5
14185;0.15440938249230385;19;84.0
14186;0.24281805381178856;25;782.0
14187;0.14110520482063293;17;514.5
14188;0.2518237568438053;25;-884.0
14189;0.14070594683289528;17;514.5
14190;0.14684098213911057;17;514.5
14191;0.26476678997278214;31;850.125
14192;0.1425313651561737;17;514.5
14193;0.156009741127491;25;-539.0
14194;0.14060495793819427;19;72.125
14195;0.22507361322641373;19;569.875
14196;0.1663043536245823;25;130.75
14197;0.2573514059185982;26;823.0
14198;0.14108412340283394;17;514.5
14199;0.14119629561901093;17;514.5
14200;0.1378084011375904;17;514.5
14201;0.14875921979546547;19;446.75
14202;0.1464189887046814;20;-42.25
14203;0.214670579880476;17;514.5
14204;0.1702890843153;24;277.0
14205;0.1443779282271862;19;477.625
14206;0.13081931695342064;17;466.375
14207;0.14302636310458183;17;514.5
14208;0.23784345015883446;24;727.0
14209;0.13019221648573875;17;466.375
14210;0.13554521650075912;17;514.5
14211;0.1515749655663967;18;364.625
14212;0.14238466322422028;18;414.5
14213;0.14182589203119278;18;564.5
14214;0.14535073563456535;17;514.5
14215;0.26838307082653046;26;720.0
14216;0.1386030577123165;17;480.875
14217;0.25703612715005875;28;-123.0
14218;0.1564781405031681;20;-16.0
14219;0.1436813920736313;20;56.125
14220;0.14875679463148117;17;514.5
14221;0.2600204721093178;27;789.875
14222;0.14550769329071045;17;514.5
14223;0.1397545412182808;17;514.5
14224;0.1440122351050377;20;110.75
14225;0.24096772074699402;23;-1180.0
14226;0.1485038585960865;21;-666.375
14227;0.23393479362130165;24;709.0
14228;0.15874061360955238;27;-1488.125
14229;0.22553282976150513;19;24.75
14230;0.16662796959280968;28;-165.25
14231;0.2505877763032913;25;147.125
14232;0.25308647006750107;27;778.125
14233;0.14225713908672333;17;514.5
14234;0.1581149771809578;25;187.75
14235;0.23515629768371582;25;454.625
14236;0.1353175938129425;17;514.5
14237;0.14418189972639084;17;514.5
14238;0.13953258097171783;20;2.0
14239;0.23635882884263992;26;787.75
14240;0.1332876905798912;17;514.5
14241;0.13475803658366203;18;528.5
14242;0.14069874957203865;17;514.5
14243;0.139870323240757;18;559.0
14244;0.259747002273798;24;682.75
14245;0.15020857378840446;20;364.5
14246;0.14349334314465523;17;514.5
14247;0.14480578526854515;18;677.0
14248;0.2430446483194828;26;-115.0
14249;0.16759884357452393;28;-1588.125
14250;0.2408769354224205;24;-20.0
14251;0.1531594917178154;19;57.75
14252;0.1436503902077675;17;514.5
14253;0.25076158717274666;26;728.0
14254;0.16334214434027672;26;784.5
14255;0.21189137920737267;17;514.5
14256;0.1621048003435135;24;632.0
14257;0.14886808395385742;18;392.0
14258;0.14771071076393127;21;-98.0
14259;0.2136969342827797;17;364.5
14260;0.14354665204882622;18;414.5
14261;0.14137138426303864;17;514.5
14262;0.14045032113790512;17;514.5
14263;0.17525368183851242;27;697.125
14264;0.24549179896712303;24;732.0
14265;0.23827002942562103;25;-1030.0
14266;0.13491763919591904;17;514.5
14267;0.16179988905787468;27;817.5
14268;0.14133455604314804;18;414.5
14269;0.2276172712445259;20;102.0
14270;0.14465562254190445;18;519.5
14271;0.1568378359079361;23;-1080.0
14272;0.13803358376026154;17;514.5
14273;0.2244376242160797;20;560.25
14274;0.15754780918359756;24;-538.25
14275;0.2580968625843525;26;587.5
14276;0.1534280851483345;18;568.0
14277;0.17111914977431297;26;740.75
14278;0.23048754036426544;19;314.5
14279;0.15424053743481636;22;263.875
14280;0.1389300413429737;17;514.5
14281;0.14983170852065086;20;287.0
14282;0.1514822319149971;17;514.5
14283;0.25280095264315605;23;-1180.0
14284;0.1553705781698227;20;323.25
14285;0.14307083189487457;17;514.5
14286;0.24834809824824333;25;50.125
14287;0.15483427047729492;21;268.0
14288;0.1446809060871601;17;514.5
14289;0.15666881203651428;21;127.125
14290;0.1475001461803913;18;550.0
14291;0.25445370748639107;26;832.0
14292;0.2677655629813671;27;-1482.625
14293;0.1578545719385147;20;595.5
14294;0.16138573363423347;19;102.0
14295;0.16648538783192635;20;262.0
14296;0.23265039175748825;17;364.5
14297;0.15164005011320114;17;514.5
14298;0.1777045913040638;27;318.625
14299;0.2731506936252117;27;794.0
14300;0.16887425258755684;18;568.0
14301;0.17000291869044304;18;564.5
14302;0.15231645107269287;18;559.0
14303;0.2355356216430664;19;84.0
14304;0.15574702620506287;20;214.5
14305;0.15577370673418045;20;2.0
14306;0.15277213603258133;17;514.5
14307;0.14871088042855263;17;514.5
14308;0.2618657313287258;28;302.125
14309;0.14231235533952713;19;314.5
14310;0.13817156851291656;17;514.5
14311;0.1488547958433628;21;-98.0
14312;0.22568991035223007;18;562.0
14313;0.14577123522758484;18;562.0
14314;0.15932408720254898;19;314.5
14315;0.14741826057434082;17;466.375
14316;0.14387774839997292;18;369.5
14317;0.14769095182418823;18;568.0
14318;0.16079410538077354;19;387.0
14319;0.26995352283120155;28;-1488.0
14320;0.1633067987859249;19;477.625
14321;0.25703467056155205;24;59.5
14322;0.1754838079214096;26;172.125
14323;0.23901163041591644;20;307.0
14324;0.15326519683003426;21;622.5
14325;0.27282361686229706;31;878.375
14326;0.16855115443468094;23;-1080.0
14327;0.14444414898753166;17;642.0
14328;0.24576804414391518;24;562.875
14329;0.2647373043000698;28;-1584.375
14330;0.15534231439232826;18;414.5
14331;0.1964201107621193;25;116.75
14332;0.2486378327012062;28;-1490.5
14333;0.2393784523010254;24;-1180.0
14334;0.15200195461511612;18;469.625
14335;0.1475025750696659;17;514.5
14336;0.1737295500934124;26;-424.875
14337;0.25032853707671165;17;514.5
14338;0.1552400290966034;24;-990.875
14339;0.1555173620581627;18;414.5
14340;0.2773219421505928;26;-1288.125
14341;0.14607438445091248;17;514.5
14342;0.14906589686870575;17;514.5
14343;0.1426553726196289;17;514.5
14344;0.14546167850494385;17;514.5
14345;0.15631529688835144;18;414.5
14346;0.25034233182668686;24;142.125
14347;0.1418963223695755;18;528.5
14348;0.163276057690382;26;807.125
14349;0.14267761260271072;17;514.5
14350;0.2482580803334713;19;467.5
14351;0.16367674991488457;23;154.0
14352;0.258527297526598;27;892.0
14353;0.15148334205150604;18;414.5
14354;0.16552715003490448;23;-688.0
14355;0.2410656325519085;21;146.375
14356;0.1725379265844822;28;731.0
14357;0.246880192309618;20;434.625
14358;0.17953499779105186;24;258.0
14359;0.1454700268805027;18;528.5
14360;0.2524132952094078;27;705.75
14361;0.15153831988573074;17;514.5
14362;0.16139953210949898;20;544.0
14363;0.1449066773056984;17;642.0
14364;0.22994938865303993;21;473.875
14365;0.15075216814875603;18;568.0
14366;0.1665068417787552;26;798.125
14367;0.1463470533490181;17;514.5
14368;0.26276858523488045;29;-1019.25
14369;0.14862748235464096;17;514.5
14370;0.14326202496886253;17;514.5
14371;0.14402782917022705;17;514.5
14372;0.2351120077073574;18;534.625
14373;0.15137049928307533;18;414.5
14374;0.163913082331419;21;139.0
14375;0.14978878572583199;17;514.5
14376;0.15815623104572296;19;68.375
14377;0.1524660736322403;19;235.0
14378;0.24497999995946884;19;314.5
14379;0.14265571162104607;18;555.5
14380;0.13888491690158844;17;514.5
14381;0.1458618864417076;19;436.5
14382;0.15930233523249626;19;491.75
14383;0.27932626008987427;26;795.75
14384;0.15228713303804398;17;514.5
14385;0.1552048698067665;17;514.5
14386;0.14730914682149887;20;127.125
14387;0.14159082621335983;18;519.5
14388;0.22682688012719154;20;7.0
14389;0.15166613459587097;17;514.5
14390;0.1722627356648445;26;773.125
14391;0.14951116964221;18;566.5
14392;0.2465069554746151;18;536.5
14393;0.16665222868323326;19;314.5
14394;0.31362252309918404;29;-7.0
14395;0.17780720815062523;27;690.0
14396;0.2527862451970577;25;743.375
14397;0.14318351075053215;17;514.5
14398;0.14449015259742737;17;514.5
14399;0.1457398198544979;18;536.5
14400;0.24449245259165764;24;-844.375
14401;0.1404445394873619;17;514.5
14402;0.17514555528759956;26;732.0
14403;0.13642709702253342;17;497.0
14404;0.1366530805826187;19;102.0
14405;0.23201759904623032;25;117.0
14406;0.13306084275245667;17;514.5
14407;0.23352503776550293;26;787.0
14408;0.15771033614873886;25;-1162.0
14409;0.2340322844684124;26;720.0
14410;0.1336614042520523;17;514.5
14411;0.1784488670527935;24;732.0
14412;0.2546571418642998;17;514.5
14413;0.15447856485843658;19;457.0
14414;0.15289317816495895;22;2.0
14415;0.15508785843849182;17;514.5
14416;0.15128906816244125;17;514.5
14417;0.2486153058707714;23;-345.0
14418;0.1781567633152008;24;673.875
14419;0.2556023970246315;26;842.0
14420;0.16764573752880096;27;632.0
14421;0.26721590384840965;28;72.5
14422;0.25930973142385483;21;187.0
14423;0.1436326801776886;17;514.5
14424;0.1569264642894268;22;256.75
14425;0.2494039088487625;26;-1284.375
14426;0.1448090672492981;17;514.5
14427;0.15020817145705223;17;514.5
14428;0.14451229199767113;18;523.25
14429;0.2555541433393955;28;277.625
14430;0.17478349432349205;24;130.75
14431;0.15480347350239754;17;514.5
14432;0.27137165144085884;26;162.5
14433;0.25193946808576584;28;342.0
14434;0.13226009905338287;17;514.5
14435;0.14319846034049988;19;525.0
14436;0.14495766907930374;17;514.5
14437;0.13856355473399162;18;555.5
14438;0.14239704981446266;19;467.5
14439;0.1374860294163227;18;523.25
14440;0.2673906311392784;24;-766.375
14441;0.19077234715223312;25;707.5
14442;0.16375819966197014;17;514.5
14443;0.2708623744547367;20;289.0
14444;0.1884191446006298;26;-1384.5
14445;0.2450689785182476;21;2.0
14446;0.14604705572128296;17;514.5
14447;0.14669305458664894;17;514.5
14448;0.1801401786506176;25;663.0
14449;0.16047096624970436;17;514.5
14450;0.25609638169407845;19;528.25
14451;0.16877156868577003;26;837.0
14452;0.1579027883708477;18;562.0
14453;0.2474288046360016;21;114.5
14454;0.1494358368217945;17;514.5
14455;0.1524975337088108;18;536.5
14456;0.17582376673817635;25;-357.875
14457;0.2851122356951237;28;-1583.75
14458;0.16375385969877243;18;414.5
14459;0.1684991903603077;20;107.0
14460;0.2942446582019329;26;837.0
14461;0.15248137339949608;17;492.0
14462;0.27875180169939995;26;137.125
14463;0.1712646633386612;19;102.0
14464;0.16710859164595604;18;566.5
14465;0.30531786382198334;24;-1062.0
14466;0.17570007219910622;18;414.5
14467;0.20577873289585114;27;685.75
14468;0.3041345365345478;24;732.0
14469;0.29677511751651764;29;822.875
14470;0.17639678716659546;17;514.5
14471;0.1939392276108265;26;715.0
14472;0.16844729334115982;17;514.5
14473;0.23804976046085358;17;514.5
14474;0.15917987003922462;17;514.5
14475;0.183340135961771;24;727.0
14476;0.2682911865413189;26;726.0
14477;0.15047923475503922;18;414.5
14478;0.1734718307852745;24;-788.0
14479;0.14651793241500854;17;514.5
14480;0.14330872893333435;17;514.5
14481;0.23671938106417656;17;514.5
14482;0.15519080683588982;17;514.5
14483;0.15936581417918205;18;519.5
14484;0.1542680859565735;19;102.0
14485;0.1745365895330906;24;-485.5
14486;0.27607931569218636;25;-793.0
14487;0.16123009100556374;17;514.5
14488;0.2831563502550125;27;-1080.0
14489;0.15985935181379318;17;514.5
14490;0.18037980794906616;26;-780.0
14491;0.2768794484436512;28;122.0
14492;0.283260952681303;27;832.75
14493;0.16905231028795242;18;559.0
14494;0.16780519112944603;18;534.625
14495;0.164536964148283;19;455.5
14496;0.16138940677046776;17;514.5
14497;0.26281360909342766;19;314.5
14498;0.1638258919119835;17;514.5
14499;0.16970795392990112;17;514.5
14500;0.1909455619752407;26;682.25
14501;0.1620936244726181;17;514.5
14502;0.28799179941415787;26;745.75
14503;0.2976265773177147;29;907.0
14504;0.16335159167647362;18;492.0
14505;0.2785593271255493;27;758.375
14506;0.17909332737326622;26;776.0
14507;0.15607763081789017;17;514.5
14508;0.25674934312701225;22;-440.0
14509;0.15131255611777306;17;514.5
14510;0.15869978442788124;20;716.5
14511;0.26898084208369255;26;632.0
14512;0.162086583673954;19;428.5
14513;0.15894335135817528;19;270.25
14514;0.16172078996896744;19;314.5
14515;0.27642619609832764;23;-688.0
14516;0.15488015115261078;18;114.5
14517;0.17570563778281212;25;177.0
14518;0.15278644114732742;19;314.5
14519;0.2590770795941353;25;182.0
14520;0.15562767162919044;20;214.5
14521;0.28586408868432045;27;-605.875
14522;0.28575290739536285;26;-1130.0
14523;0.15923062711954117;17;514.5
14524;0.16907930374145508;19;466.5
14525;0.16521567851305008;19;314.5
14526;0.1667511761188507;17;514.5
14527;0.16444147005677223;17;470.25
14528;0.17652585729956627;21;80.875
14529;0.28625693172216415;20;257.0
14530;0.2031574584543705;27;176.625
14531;0.1614503338932991;17;514.5
14532;0.26563195139169693;19;524.0
14533;0.16357973590493202;17;514.5
14534;0.16442836448550224;19;-365.25
14535;0.31369103491306305;28;689.375
14536;0.17386626824736595;17;492.0
14537;0.2033238299190998;18;414.5
14538;0.18241285905241966;16;614.5
14539;0.17903300002217293;18;480.375
14540;0.18631991371512413;17;514.5
14541;0.18031124770641327;19;102.0
14542;0.3104739971458912;26;222.0
14543;0.18036861717700958;19;468.0
14544;0.21142088249325752;17;514.5
14545;0.1718119941651821;18;492.0
14546;0.33940717577934265;29;-23.0
14547;0.30364787951111794;26;718.0
14548;0.19445831701159477;25;757.125
14549;0.30553489923477173;26;177.0
14550;0.17915978655219078;18;414.5
14551;0.19825951755046844;19;84.0
14552;0.3480645604431629;26;630.5
14553;0.21555732563138008;23;57.0
14554;0.19519100710749626;20;157.0
14555;0.32086820900440216;17;514.5
14556;0.1941753588616848;17;514.5
14557;0.18504711985588074;19;496.375
14558;0.18268998339772224;17;514.5
14559;0.1830253265798092;20;2.0
14560;0.1681414395570755;17;364.5
14561;0.3153657987713814;24;-123.0
14562;0.17324521765112877;17;497.0
14563;0.18104203045368195;17;514.5
14564;0.17203348129987717;17;514.5
14565;0.18057838454842567;18;487.0
14566;0.17548587173223495;19;816.5
14567;0.17276866734027863;17;514.5
14568;0.17231230437755585;18;519.5
14569;0.1727309189736843;17;514.5
14570;0.26398109272122383;18;519.5
14571;0.19455817341804504;29;-25.0
14572;0.2836705595254898;27;597.625
14573;0.2908643111586571;24;663.75
14574;0.17192034795880318;25;651.0
14575;0.16855759546160698;17;214.5
14576;0.27789270877838135;24;690.75
14577;0.16230709478259087;17;514.5
14578;0.17609696090221405;19;314.5
14579;0.16082675009965897;17;514.5
14580;0.30908555537462234;27;773.0
14581;0.1689746044576168;17;514.5
14582;0.1632370911538601;17;514.5
14583;0.21369242295622826;26;709.0
14584;0.29203131049871445;20;184.125
14585;0.18902700021862984;24;695.75
14586;0.19246568530797958;20;157.0
14587;0.28375695273280144;18;566.5
14588;0.17497553303837776;17;514.5
14589;0.1728503741323948;20;-42.25
14590;0.19007286801934242;26;623.875
14591;0.2917036786675453;20;157.0
14592;0.19134772941470146;24;207.0
14593;0.16271262243390083;19;444.0
14594;0.2755204029381275;18;550.0
14595;0.19220435246825218;19;442.0
14596;0.19047407433390617;24;732.0
14597;0.2038249671459198;17;514.5
14598;0.3034835383296013;24;-176.625
14599;0.17743497714400291;19;102.0
14600;0.3072919733822346;26;616.5
14601;0.1923401616513729;17;514.5
14602;0.20485630631446838;29;918.375
14603;0.28422413021326065;17;514.5
14604;0.18829475343227386;19;392.0
14605;0.18846316263079643;25;-1075.5
14606;0.1806732937693596;19;292.0
14607;0.28730057552456856;17;514.5
14608;0.17813338339328766;17;514.5
14609;0.17155547812581062;17;514.5
14610;0.17279398068785667;19;143.5
14611;0.18602457642555237;18;555.5
14612;0.19527943059802055;20;395.75
14613;0.2494736798107624;17;514.5
14614;0.20688560232520103;18;414.5
14615;0.2099226787686348;17;514.5
14616;0.5678839385509491;17;514.5
14617;0.28096888214349747;20;469.5
14618;0.20443100854754448;17;514.5
14619;0.20259323343634605;23;-962.0
14620;0.3028378002345562;20;556.0
14621;0.20891819149255753;23;207.0
14622;0.17434264719486237;17;514.5
14623;0.18781397119164467;19;314.5
14624;0.18869363889098167;17;514.5
14625;0.18991027399897575;18;528.5
14626;0.314110454171896;20;328.5
14627;0.17943325266242027;17;514.5
14628;0.19386283680796623;17;514.5
14629;0.17973561584949493;19;102.0
14630;0.18935537710785866;17;514.5
14631;0.18600160256028175;17;514.5
14632;0.19245647639036179;19;14.5
14633;0.3291873224079609;22;-198.0
14634;0.2009681575000286;26;-280.0
14635;0.3038901574909687;23;414.25
14636;0.18365488946437836;17;514.5
14637;0.20857175812125206;25;539.375
14638;0.1806681528687477;17;514.5
14639;0.18374596908688545;17;514.5
14640;0.3225162774324417;24;632.0
14641;0.19641463458538055;19;457.0
14642;0.1818799450993538;17;514.5
