Episode;Step;Action;Action type;Action duration;Reward
99000;1;4;Model;0.0025325529277324677;140.0
99000;2;0;Random;0.00025900453329086304;0.0
99000;3;5;Random;0.00023871660232543945;-146.0
99000;4;9;Random;0.00026614218950271606;0.0
99000;5;7;Random;0.00023386627435684204;21.0
99000;6;1;Random;0.00023184716701507568;-2.0
99000;7;4;Model;0.002521265298128128;106.75
99000;8;8;Random;0.0002573058009147644;-0.875
99000;9;6;Random;0.0002547837793827057;-14.0
99000;10;4;Model;0.0022829286754131317;161.25
99000;11;5;Random;0.0002551451325416565;-188.125
99000;12;6;Random;0.00023051351308822632;35.875
99000;13;0;Random;0.0002280212938785553;28.0
99000;14;5;Random;0.0002337321639060974;-78.0
99000;15;2;Random;0.00022798404097557068;16.0
99000;16;5;Random;0.10590429976582527;-16.5
99000;17;4;Model;0.002369105815887451;25.0
99000;18;4;Model;0.0019894279539585114;75.25
99000;19;4;Model;0.0019327551126480103;120.0
99000;20;4;Model;0.0021005235612392426;158.75
99000;21;8;Random;0.0002564825117588043;22.5
99000;22;5;Random;0.00023576244711875916;-168.0
99000;23;9;Random;0.00023159757256507874;-37.5
99000;24;4;Model;0.002170804888010025;130.0
99000;25;6;Model;0.002190113067626953;13.125
99000;26;4;Random;0.0002398751676082611;160.0
99000;27;0;Random;0.0002314746379852295;4.5
99000;28;6;Model;0.002422608435153961;62.0
99000;29;6;Model;0.0026312582194805145;100.5
99000;30;6;Model;0.002148151397705078;111.0
99000;31;8;Random;0.0002731718122959137;23.0
99000;32;4;Random;0.10626647248864174;-100.0
99000;33;0;Random;0.0003247074782848358;-100.0
99000;34;1;Random;0.0002126842737197876;-100.0
99000;35;6;Model;0.0025751926004886627;-100.0
99000;36;0;Random;0.00020472705364227295;-100.0
99000;37;6;Model;0.002145044505596161;-100.0
99000;38;2;Random;0.00020055100321769714;-100.0
99000;39;2;Random;0.00020091235637664795;-100.0
99000;40;5;Random;0.00022124126553535461;214.0
99000;41;6;Random;0.00022676587104797363;-214.0
99000;42;4;Model;0.002159353345632553;-100.0
99000;43;4;Model;0.002108406275510788;-100.0
99000;44;1;Random;0.00019485130906105042;-100.0
99000;45;4;Model;0.0020474009215831757;-100.0
99001;1;8;Random;0.00023521855473518372;0.0
99001;2;1;Random;0.00023035705089569092;12.0
99001;3;4;Model;0.1062825359404087;125.125
99001;4;4;Model;0.002292472869157791;177.75
99001;5;4;Model;0.002129070460796356;200.0
99001;6;4;Model;0.002227064222097397;200.0
99001;7;4;Model;0.002178136259317398;-100.0
99001;8;7;Random;0.00024944916367530823;-100.0
99001;9;4;Random;0.0002182982861995697;-100.0
99001;10;2;Random;0.00020820274949073792;-100.0
99001;11;6;Random;0.00020293891429901123;-100.0
99001;12;9;Random;0.00020008161664009094;-100.0
99001;13;5;Random;0.00019946321845054626;-100.0
99001;14;6;Model;0.00215047225356102;-100.0
99001;15;4;Random;0.00020612403750419617;-100.0
99001;16;2;Random;0.00021252408623695374;-100.0
99001;17;8;Random;0.00020834431052207947;-100.0
99001;18;9;Random;0.00020059198141098022;-100.0
99001;19;6;Model;0.10927528142929077;-100.0
99001;20;7;Random;0.0006972998380661011;-100.0
99001;21;6;Random;0.0003750510513782501;-100.0
99001;22;6;Model;0.0027048662304878235;-100.0
99001;23;3;Random;0.00022435560822486877;-100.0
99001;24;8;Model;0.002286721020936966;-100.0
