Episode;Episode duration;Number of steps;Total reward
99000;0.3160932809114456;45;-336.5
99001;0.4116356857120991;40;-2685.125
99002;0.2857122831046581;36;225.875
99003;0.28218216076493263;26;-775.875
99004;0.2982269413769245;42;305.875
99005;0.555008914321661;61;-298.0
99006;0.2831884175539017;33;-704.75
99007;0.29542359337210655;36;-7.75
99008;0.2563129626214504;30;-917.25
99009;0.5177802853286266;57;-2114.625
99010;0.1582804024219513;24;-929.25
99011;0.3836809955537319;36;-1927.625
99012;0.27152785658836365;32;-1538.125
99013;0.2902100719511509;38;534.75
99014;0.26783326268196106;25;90.75
99015;0.5550999119877815;69;-2490.5
99016;0.2763048931956291;29;-1384.375
99017;0.43951522931456566;54;-3979.875
99018;0.43043768778443336;52;-3686.5
99019;0.5461014918982983;59;703.5
99020;0.295973002910614;38;-1737.625
99021;1.1076231710612774;128;2041.375
99022;0.2591574005782604;23;-800.0
99023;0.42668043822050095;51;-330.125
99024;0.5365596488118172;59;485.625
99025;0.439404234290123;47;-975.875
99026;0.031330931931734085;13;299.25
99027;0.27790240570902824;28;-757.0
99028;0.4068568982183933;39;791.5
99029;0.43144598975777626;58;1404.125
99030;0.39459553733468056;37;691.875
99031;0.15460942685604095;24;-679.0
99032;0.1422635279595852;16;343.0
99033;0.6983396895229816;82;-260.125
99034;0.26542404294013977;28;-1058.125
99035;0.39109135419130325;45;-1297.125
99036;0.4260968752205372;50;-580.125
99037;0.3830309882760048;46;-136.875
99038;0.5488484874367714;63;-4067.0
99039;0.4597499445080757;56;-3177.375
99040;0.30951210856437683;34;-913.875
99041;0.2768521085381508;26;-612.75
99042;0.2951348200440407;28;-853.625
99043;0.542818583548069;64;1613.25
99044;0.15130271762609482;23;-171.125
99045;0.42756225541234016;45;66.125
99046;0.5265475623309612;60;-2812.5
99047;0.1539900079369545;22;29.625
99048;0.14974363148212433;19;-84.5
99049;0.566439513117075;64;-4290.125
99050;0.40412262827157974;38;-1498.625
99051;0.15235773473978043;22;-214.0
99052;0.406260397285223;48;-1891.0
99053;0.2608785219490528;26;-921.125
99054;0.4388572946190834;54;-499.875
99055;0.43074850738048553;46;-1073.375
99056;0.1764356605708599;25;211.25
99057;0.38807105273008347;33;-820.0
99058;0.2841359004378319;33;-781.75
99059;0.43971238657832146;61;-1231.875
99060;0.2639404125511646;29;-1144.125
99061;0.5358661748468876;61;-1876.0
99062;0.14059986546635628;19;-185.625
99063;0.2765384167432785;35;-664.0
99064;0.2777298390865326;28;-916.625
99065;0.26796936243772507;28;-300.5
99066;0.2733204960823059;29;149.125
99067;0.3153980188071728;41;-1517.0
99068;0.2671176977455616;28;77.75
99069;0.28698182478547096;32;-435.125
99070;0.2717617116868496;25;-1286.75
99071;0.4357706531882286;60;1797.875
99072;0.4182477220892906;39;-2003.375
99073;0.3073081485927105;42;528.5
99074;0.2424606829881668;20;-500.125
99075;0.16517259925603867;27;-298.125
99076;0.6601091660559177;81;-1862.875
99077;0.24746163934469223;22;403.5
99078;0.2904825918376446;36;-357.75
99079;0.6952241845428944;76;-1954.625
99080;0.27828117460012436;29;-1479.75
99081;0.1458808183670044;18;-266.25
99082;0.283254899084568;33;-583.625
99083;0.431555662304163;57;-3282.625
99084;0.5389835350215435;65;-3917.5
99085;0.5226059854030609;57;627.125
99086;0.16271500661969185;24;-144.75
99087;0.2918166108429432;27;-639.75
99088;0.4343222416937351;39;-446.25
99089;0.1486697494983673;18;67.375
99090;0.7390992268919945;78;-4278.25
99091;0.17458708956837654;22;-694.25
99092;0.2986711822450161;40;22.875
99093;0.4133604057133198;44;42.375
99094;1.27072624117136;134;-2223.375
99095;0.44393590092658997;61;-1101.75
99096;0.1429237462580204;16;352.75
99097;0.5772112682461739;50;1583.625
99098;0.2807202450931072;35;-819.375
99099;0.5887120068073273;72;205.25
99100;0.2735294811427593;23;149.25
99101;0.5454026497900486;64;-2559.125
99102;0.15508416667580605;22;-265.25
99103;0.13541234284639359;14;225.625
99104;0.40357041358947754;44;26.5
99105;0.5600275546312332;65;-1499.125
99106;0.30128249898552895;38;-1700.375
99107;0.7344826571643353;73;-5235.875
99108;0.2971400246024132;35;-1650.625
99109;0.3234976902604103;42;924.0
99110;0.8949859961867332;85;-5905.5
99111;0.45567189157009125;50;-1503.75
99112;0.5918807499110699;63;806.25
99113;0.3054025061428547;37;257.75
99114;0.2920672222971916;34;269.125
99115;0.7052742838859558;76;-3757.25
99116;0.1390089988708496;18;151.875
99117;0.4220004566013813;46;-1062.625
99118;0.3162299729883671;37;-894.25
99119;0.1502707488834858;16;-382.625
99120;0.29468458518385887;29;791.625
99121;0.1696663685142994;16;-384.375
99122;0.14744270220398903;15;215.125
99123;0.1387491635978222;12;13.25
99124;0.14733782410621643;13;312.0
99125;0.04477011039853096;13;312.0
99126;0.15078522637486458;14;135.5
99127;0.14875344932079315;14;190.5
99128;0.1493142656981945;13;312.0
99129;0.1725907027721405;21;-42.25
99130;0.26905984431505203;20;-265.0
99131;0.05363887920975685;14;175.0
99132;0.16414184123277664;14;175.0
99133;0.27901047468185425;19;169.5
99134;0.17888186126947403;17;121.5
99135;0.055995866656303406;14;175.0
99136;0.17171286046504974;14;-186.75
99137;0.17127680405974388;14;212.0
99138;0.33535410836338997;35;-1934.25
99139;0.29667965695261955;19;6.5
99140;0.17206771299242973;15;112.0
99141;0.18902664259076118;21;-166.5
99142;0.16932961344718933;13;312.0
99143;0.04954603314399719;13;312.0
99144;0.16594305261969566;16;-6.0
99145;0.1504039354622364;12;538.0
99146;0.16278981789946556;17;-12.5
99147;0.16240569949150085;17;15.125
99148;0.17594289407134056;15;240.0
99149;0.1769312135875225;19;71.0
99150;0.16155549511313438;13;312.0
99151;0.15093089267611504;13;312.0
99152;0.15271387994289398;15;102.0
99153;0.30000630393624306;29;-1334.25
99154;0.31181785836815834;30;356.125
99155;0.15457456931471825;17;17.0
99156;0.15110820531845093;15;-13.5
99157;0.14760747179389;13;312.0
99158;0.04724019393324852;15;68.75
99159;0.2748686373233795;24;417.625
99160;0.15151086077094078;13;312.0
99161;0.15520136803388596;16;110.75
99162;0.16443897411227226;18;171.0
99163;0.14619871973991394;12;20.0
99164;0.1781439185142517;20;-199.25
99165;0.32546796277165413;30;-1269.0
99166;0.15390337631106377;13;312.0
99167;0.04872055724263191;14;212.0
99168;0.28295470401644707;24;-699.5
99169;0.14726409316062927;13;312.0
99170;0.1521134413778782;15;170.0
99171;0.14715002477169037;13;312.0
99172;0.0458126999437809;15;65.5
99173;0.14874060079455376;13;312.0
99174;0.15236590430140495;13;312.0
99175;0.30961640924215317;26;-933.75
99176;0.15183337777853012;13;312.0
99177;0.045221712440252304;13;312.0
99178;0.15938137471675873;16;-384.375
99179;0.1721051260828972;18;-188.0
99180;0.16050530970096588;13;312.0
99181;0.17229732125997543;17;-196.0
99182;0.17371205240488052;17;-196.0
99183;0.15084144100546837;14;237.875
99184;0.16182992234826088;14;326.0
99185;0.1536664217710495;13;312.0
99186;0.16063661128282547;16;154.0
99187;0.1762847676873207;20;-880.0
99188;0.1714019738137722;18;-46.0
99189;0.16211821138858795;18;-80.0
99190;0.15379325300455093;13;292.0
99191;0.15884122997522354;14;212.0
99192;0.14621705189347267;13;312.0
99193;0.147511288523674;14;192.0
99194;0.15041811019182205;13;312.0
99195;0.0445222407579422;13;312.0
99196;0.16571186110377312;15;192.5
99197;0.2950054481625557;21;-884.375
99198;0.1690102256834507;13;312.0
99199;0.04831545427441597;13;312.0
99200;0.3347948081791401;34;-1788.0
99201;0.15965364500880241;13;312.0
99202;0.15488718077540398;15;187.5
99203;0.16067549958825111;13;312.0
99204;0.14930662140250206;13;312.0
99205;0.1500782109797001;13;312.0
99206;0.1505890153348446;15;68.75
99207;0.04157476872205734;13;312.0
99208;0.2693321406841278;19;119.5
99209;0.0490000918507576;14;-184.375
99210;0.1529044322669506;15;65.5
99211;0.16213315352797508;15;241.0
99212;0.16476131603121758;13;312.0
99213;0.17452796548604965;16;154.0
99214;0.18072959035634995;18;1.5
99215;0.1544051207602024;13;312.0
99216;0.15672411769628525;13;312.0
99217;0.14994536712765694;13;312.0
99218;0.16073279082775116;19;-180.0
99219;0.1560024917125702;15;215.125
99220;0.2984052710235119;30;-1394.0
99221;0.15233759209513664;15;60.75
99222;0.16027019172906876;15;112.0
99223;0.1603676751255989;15;191.0
99224;0.050304118543863297;15;220.0
99225;0.27522066608071327;20;-29.0
99226;0.3159516006708145;29;-1288.0
99227;0.19139813259243965;25;-638.5
99228;0.1600968912243843;13;312.0
99229;0.1595330350100994;14;-186.75
99230;0.16452491283416748;16;90.75
99231;0.15788036212325096;14;127.5
99232;0.04778244346380234;13;312.0
99233;0.15427689254283905;12;11.875
99234;0.1585681475698948;14;67.625
99235;0.16911891847848892;15;-284.375
99236;0.17109034210443497;15;192.5
99237;0.15627982467412949;14;212.0
99238;0.16613196581602097;13;312.0
99239;0.3488261103630066;38;-2202.5
99240;0.14724662527441978;13;312.0
99241;0.156353872269392;15;112.0
99242;0.15995041653513908;15;112.0
99243;0.1620408184826374;18;-14.0
99244;0.1579090766608715;13;312.0
99245;0.17069347575306892;18;-487.0
99246;0.181996900588274;24;-629.875
99247;0.1455148607492447;15;161.0
99248;0.16395818814635277;17;78.5
99249;0.1655523031949997;17;-88.0
99250;0.15568633377552032;17;-486.75
99251;0.1538858562707901;13;312.0
99252;0.15000083297491074;13;312.0
99253;0.15132111310958862;14;317.0
99254;0.15865830332040787;15;207.0
99255;0.15810807421803474;13;312.0
99256;0.15319828316569328;14;334.0
99257;0.16459136083722115;18;-275.5
99258;0.1616945043206215;17;118.5
99259;0.16164669394493103;16;12.0
99260;0.15074783191084862;13;312.0
99261;0.16633100807666779;18;-93.0
99262;0.04978858307003975;13;312.0
99263;0.16510432586073875;14;168.75
99264;0.15983296930789948;12;11.875
99265;0.16317765042185783;15;65.5
99266;0.17897460609674454;19;-684.375
99267;0.15157903358340263;12;11.875
99268;0.15186605975031853;13;312.0
99269;0.16439509764313698;18;246.875
99270;0.18748567253351212;24;-1180.0
99271;0.1592993587255478;15;222.5
99272;0.15316129848361015;14;175.0
99273;0.14590561389923096;13;312.0
99274;0.16838413849473;15;112.0
99275;0.3499891720712185;34;-1834.25
99276;0.17387730255723;13;312.0
99277;0.1736087203025818;15;-10.0
99278;0.17490019276738167;18;34.0
99279;0.15183046087622643;13;312.0
99280;0.15317806228995323;14;212.0
99281;0.04829057306051254;13;312.0
99282;0.16693810746073723;13;312.0
99283;0.44849028065800667;36;-2019.0
99284;0.16564155369997025;19;-680.0
99285;0.17024243995547295;19;-338.125
99286;0.14781440421938896;15;-195.0
99287;0.1522962935268879;15;222.5
99288;0.15947213396430016;17;-122.375
99289;0.17243371158838272;17;-414.0
99290;0.15014545992016792;13;312.0
99291;0.18803299218416214;26;-1031.25
99292;0.16073794290423393;16;-58.0
99293;0.1614779829978943;15;112.0
99294;0.15636783838272095;14;184.0
99295;0.15948671102523804;13;312.0
99296;0.1653900183737278;14;317.0
99297;0.15570953115820885;13;312.0
99298;0.32170748710632324;33;-1775.5
99299;0.15936114639043808;13;312.0
99300;0.16136237978935242;18;-188.0
99301;0.04821200296282768;13;312.0
99302;0.17650698497891426;16;12.0
99303;0.16285823285579681;14;175.0
99304;0.1683540754020214;13;312.0
99305;0.16227953508496284;14;338.0
99306;0.15599535033106804;13;312.0
99307;0.1600269265472889;15;210.75
99308;0.17294101044535637;21;-374.625
99309;0.34562647715210915;35;-1934.25
99310;0.1679428331553936;15;112.0
99311;0.15950169041752815;15;231.5
99312;0.17059502378106117;17;-484.375
99313;0.15857116132974625;13;312.0
99314;0.14915351569652557;13;312.0
99315;0.17002784460783005;17;-88.0
99316;0.16270582005381584;18;-488.875
99317;0.1540183685719967;14;168.75
99318;0.16041452065110207;15;261.125
99319;0.16584396734833717;13;131.25
99320;0.16554810479283333;15;210.75
99321;0.04995190352201462;14;338.0
99322;0.17486534640192986;13;312.0
99323;0.1830819472670555;16;92.5
99324;0.1719745174050331;17;-88.0
99325;0.28569917753338814;21;-517.5
99326;0.15994738787412643;15;112.0
99327;0.1684589795768261;16;-58.0
99328;0.16258813813328743;15;202.5
99329;0.04533716291189194;13;312.0
99330;0.1590588465332985;15;241.0
99331;0.3001425676047802;24;-963.625
99332;0.15920355916023254;13;312.0
99333;0.046126656234264374;13;312.0
99334;0.15017693862318993;13;267.375
99335;0.1730487272143364;18;-188.0
99336;0.16166836768388748;13;312.0
99337;0.15603764727711678;13;312.0
99338;0.15182403475046158;15;332.125
99339;0.3007057271897793;29;-964.0
99340;0.15361279249191284;15;-288.125
99341;0.04174947738647461;13;294.0
99342;0.14841682091355324;13;312.0
99343;0.15740859135985374;13;312.0
99344;0.33558326214551926;37;-2128.625
99345;0.1598355881869793;16;141.875
99346;0.1511140689253807;14;175.0
99347;0.28601501137018204;24;-429.0
99348;0.1715412624180317;18;24.0
99349;0.15098894387483597;14;317.0
99350;0.16307125613093376;13;312.0
99351;0.039215829223394394;14;208.875
99352;0.16014252603054047;15;236.0
99353;0.15608379989862442;13;312.0
99354;0.18095610290765762;19;-684.375
99355;0.15523631498217583;13;-80.0
99356;0.15452764555811882;14;-92.125
99357;0.14631274342536926;13;109.25
99358;0.16131149977445602;18;-123.5
99359;0.1502944901585579;14;-180.0
99360;0.3389597237110138;39;-2288.0
99361;0.29488690942525864;25;89.375
99362;0.3408067375421524;41;-2208.0
99363;0.43795131519436836;36;-1798.5
99364;0.17208624631166458;15;344.0
